id,nombre,apellidos,fecha_nacimiento,fecha_incorporacion,salario,pais,rol,especialidad,posicion,dorsal,altura,peso,goles,partidos_jugados,minutos_jugados,imagen
1,Roberto,Hongo,1960-07-17,2000-01-01,60000.0,Brasil,Entrenador,ENTRENADOR_PRINCIPAL,,,,,,,,media/entrenador1.png
2,Oliver,Atom,1983-04-10,2001-05-15,35000.0,España,Jugador,,DELANTERO,10,1.75,65.0,70,150,13245,media/jugador1.png
3,Benji,Price,1983-11-07,2001-05-15,34000.0,Alemania,Jugador,,PORTERO,1,1.83,78.0,0,200,14500,media/jugador2.png
4,Freddy,Marshall,1965-09-22,2005-04-10,55000.0,España,Entrenador,ENTRENADOR_PORTEROS,,,,,,,,media/entrenador2.png
5,Tom,Baker,1984-03-20,2001-05-15,32000.0,Inglaterra,Jugador,,CENTROCAMPISTA,8,1.72,63.0,30,140,12100,media/jugador3.png
6,Bruce,Harper,1983-08-15,2001-05-15,30000.0,España,Jugador,,DEFENSA,4,1.78,70.0,5,180,13400,media/jugador4.png
7,Jefferson,Robles,1968-12-12,2003-11-11,58000.0,México,Entrenador,ENTRENADOR_ASISTENTE,,,,,,,,media/entrenador1.png
8,Phillip,Callahan,1983-06-06,2001-05-15,31000.0,Italia,Jugador,,DEFENSA,5,1.80,72.0,10,160,12930,media/jugador1.png
9,Johnny,Mason,1984-01-25,2001-05-15,31000.0,España,Jugador,,CENTROCAMPISTA,6,1.74,68.0,15,130,11650,media/jugador2.png
10,Leo,Aragones,1970-05-30,2002-09-01,57000.0,Argentina,Entrenador,ENTRENADOR_PRINCIPAL,,,,,,,,media/entrenador2.png
11,Paul,Diamond,1983-10-18,2001-05-15,29000.0,España,Jugador,,DELANTERO,9,1.76,67.0,40,145,12050,media/jugador3.png
12,Ed,Warner,1983-02-02,2001-05-15,32000.0,España,Jugador,,PORTERO,22,1.85,80.0,0,180,14000,media/jugador4.png
13,Danny,Mello,1984-09-09,2001-05-15,31000.0,España,Jugador,,DELANTERO,11,1.77,69.0,25,135,11720,media/jugador2.png
14,Ted,Carter,1983-07-07,2001-05-15,30000.0,España,Jugador,,CENTROCAMPISTA,7,1.73,66.0,20,125,10840,media/jugador3.png
15,Jack,Morris,1984-11-11,2001-05-15,33000.0,España,Jugador,,DEFENSA,3,1.79,71.0,8,155,12400,media/jugador3.png
16,Ralph,Peterson,1983-05-05,2001-05-15,32000.0,España,Jugador,,PORTERO,13,1.84,79.0,0,170,13110,media/jugador1.png
17,Charlie,Custer,1984-08-08,2001-05-15,29500.0,España,Jugador,,DELANTERO,14,1.78,68.0,22,140,11980,media/jugador4.png
18,David,Evans,1983-12-12,2001-05-15,28500.0,España,Jugador,,CENTROCAMPISTA,15,1.75,67.0,18,115,10350,media/jugador2.png
19,Patrick,Everett,1984-06-06,2001-05-15,32000.0,España,Jugador,,DEFENSA,2,1.81,73.0,6,150,12770,media/jugador3.png
20,Richard,Textex,1983-03-03,2001-05-15,27500.0,España,Jugador,,PORTERO,16,1.86,82.0,0,160,13300,media/jugador4.png
